path,size_mb,rows,cols_declared,cols_recovered,overall_missing_pct,integrity,confidence
common-data/SingCLoud/NonFreeText_Files/VW_MED_BILLING_F/VW_MED_BILLING_F_Export_19-08-2024_P19.csv,1127.73,3875659,23,23,16.44,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_MED_BILLING_F/VW_MED_BILLING_F_Export_19-08-2024_P5.csv,1164.7,3934358,23,23,14.97,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_MED_BILLING_F/VW_MED_BILLING_F_Export_19-08-2024_P6.csv,1513.73,5122582,23,23,15.14,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_MED_BILLING_F/VW_MED_BILLING_F_Export_19-08-2024_P8.csv,1569.81,5317646,23,23,15.23,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_MED_BILLING_F/VW_MED_BILLING_F_Export_20-08-2024_P21.csv,1588.14,5472281,23,23,16.63,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_MED_BILLING_F/VW_MED_BILLING_F_Export_20-08-2024_P22.csv,1646.3,5651953,23,23,16.06,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_MED_BILLING_F/VW_MED_BILLING_F_Export_20-08-2024_P23.csv,1641.87,5639141,23,23,16.09,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_MED_BILLING_F/VW_MED_BILLING_F_Export_20-08-2024_P24.C5v,1737.43,5978376,23,23,16.17,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_MED_BILLING_F/VW_MED_BILLING_F_Export_20-08-2024_P26.csv,1582.19,5444896,23,23,16.24,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_MED_BILLING_F/VW_MED_BILLING_F_Export_20-08-2024_P30.csv,1838.15,6316180,23,23,15.88,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_MED_BILLING_F/VW_MED_BILLING_F_Export_20-08-2024_P33.csv,1838.73,6299139,23,54,15.0,over,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_MOH_OB_OPERATION_F_Export:_31-07-2024_P3.csv,125.91,706032,36,36,91.67,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_MOH_OB_OPERATION_F_Export_31-07-2024_P1.csv,1295.65,3446325,36,37,14.21,over,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_MOH_OB_OPERATION_F_Export_31-07-2024_P2.csv,1273.37,3298973,36,36,9.14,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_MOH_OB_PROCEDURE_F_Export:_31-07-2024_P2.csv,1249.98,3325012,27,28,0.0,over,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_MOH_OB_PROCEDURE_F_Export_31-07-2024_P1.csv,1744.05,4731825,27,30,0.0,over,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_MOH_OB_PROCEDURE_F_Export_31-07-2024_P3.csv,1002.09,2667003,27,27,0.0,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_MOH_OB_WO_SHI_F_Export_31-07-2024.csv,1531.25,2654121,146,148,91.22,over,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_MOV_CAT_D_Export_22-07-2024.csv,0.0,3,6,6,0.0,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_MOV_TYPE_D_Export_22-07-2024.csv,0.03,396,6,6,0.0,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_NUHCS_PROC_D_Export_22-07-2024.csv,76.28,408586,15,15,13.33,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_OP_BILLING_F/VW_OP_BILLING_F_Export_14-08-2024_P1.csv,1966.13,7003818,31,32,33.45,over,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_OP_BILLING_F/VW_OP_BILLING_F_Export_14-08-2024_P10.csv,1213.93,4238891,31,32,26.12,over,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_OP_BILLING_F/VW_OP_BILLING_F_Export_14-08-2024_P11.csv,1214.64,4245743,31,31,26.44,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_OP_BILLING_F/VW_OP_BILLING_F_Export_14-08-2024_P12.csv,1293.65,4512759,31,31,25.89,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_OP_BILLING_F/VW_OP_BILLING_F_Export_14-08-2024_P13.csv,1355.14,4724188,31,31,25.48,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_OP_BILLING_F/VW_OP_BILLING_F_Export_14-08-2024_P14.csv,1479.27,5147107,31,31,25.09,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_OP_BILLING_F/VW_OP_BILLING_F_Export_14-08-2024_P15.csv,1576.17,5483201,31,32,25.09,over,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_OP_BILLING_F/VW_OP_BILLING_F_Export_14-08-2024_P17.csv,1696.45,5902357,31,32,25.04,over,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_OP_BILLING_F/VW_OP_BILLING_F_Export_14-08-2024_P18.csv,1781.42,6198253,31,31,25.03,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_OP_BILLING_F/VW_OP_BILLING_F_Export_14-08-2024_P2.csv,2133.91,7624780,31,31,34.5,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_OP_BILLING_F/VW_OP_BILLING_F_Export_14-08-2024_P20.csv,1856.57,6460345,31,31,25.06,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_OP_BILLING_F/VW_OP_BILLING_F_Export_14-08-2024_P21.csv,1915.29,6658792,31,31,24.8,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_OP_BILLING_F/VW_OP_BILLING_F_Export_14-08-2024_P22.csv,1962.44,6821950,31,31,24.9,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_OP_BILLING_F/VW_OP_BILLING_F_Export_14-08-2024_P23.csv,1961.79,6816021,31,31,24.72,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_OP_BILLING_F/VW_OP_BILLING_F_Export_14-08-2024_P24.csv,1784.28,6208019,31,31,25.33,ok,two-pass
